zip,state_abbrev,county_code
03444,nh,005
03445,nh,005
03446,nh,005
03447,nh,005
03448,nh,005
03449,nh,011
03450,nh,005
03451,nh,005
03452,nh,011
03452,nh,005
03455,nh,005
03456,nh,019
03456,nh,005
03457,nh,005
03458,nh,011
03458,nh,005
03461,nh,005
03462,nh,005
03464,nh,005
03465,nh,005
03466,nh,005
03467,nh,005
03468,nh,011
03469,nh,005
03470,nh,005
03561,nh,009
03570,nh,007
03574,nh,007
03574,nh,009
03575,nh,007
03576,nh,007
03579,nh,007
03580,nh,009
03581,nh,007
03582,nh,007
03583,nh,007
03584,nh,007
03585,nh,009
03586,nh,009
03588,nh,007
03589,nh,007
03590,nh,007
03592,nh,007
03593,nh,007
03595,nh,007
03597,nh,007
03598,nh,009
03598,nh,007
03601,nh,019
03602,nh,005
03602,nh,019
03603,nh,019
03604,nh,005
03605,nh,019
03607,nh,019
03608,nh,019
03608,nh,005
03609,nh,005
03740,nh,009
03741,nh,009
03743,nh,019
03745,nh,019
03746,nh,019
03748,nh,009
03748,nh,019
03749,nh,009
03750,nh,009
03751,nh,019
03752,nh,019
03753,nh,009
03753,nh,019
03754,nh,019
03755,nh,009
03756,nh,009
03765,nh,009
03766,nh,009
03768,nh,009
03769,nh,009
03770,nh,019
03771,nh,009
03773,nh,019
03774,nh,009
03777,nh,009
03779,nh,009
03780,nh,009
03781,nh,019
03782,nh,019
03782,nh,013
03784,nh,009
03785,nh,009
03801,nh,015
03802,nh,015
03803,nh,015
03804,me,031
03809,nh,001
03809,nh,017
03810,nh,001
03811,nh,015
03812,nh,003
03813,nh,003
03814,nh,003
03815,nh,017
03816,nh,003
03817,nh,003
03818,nh,003
03819,nh,015
03820,nh,017
03821,nh,017
03822,nh,017
03823,nh,017
03824,nh,017
03824,nh,015
03825,nh,017
03825,nh,015
03826,nh,015
03827,nh,015
03830,nh,003
03832,nh,003
03833,nh,015
03835,nh,017
03836,nh,003
03837,nh,001
03838,nh,003
03839,nh,017
03840,nh,015
03841,nh,015
03842,nh,015
03843,nh,015
03844,nh,015
03845,nh,003
03846,nh,003
03847,nh,003
03848,nh,015
03849,nh,003
03850,nh,003
03851,nh,017
03852,nh,017
03853,nh,003
03854,nh,015
03855,nh,017
03856,nh,015
03857,nh,015
03857,nh,017
03858,nh,015
03859,nh,015
03860,nh,003
03861,nh,015
03861,nh,017
03862,nh,015
03864,nh,003
03865,nh,015
03866,nh,017
03867,nh,017
03868,nh,017
03869,nh,017
03870,nh,015
03871,nh,015
03872,nh,003
03873,nh,015
03874,nh,015
03875,nh,003
03878,nh,017
03882,nh,003
03883,nh,003
03884,nh,017
03884,nh,015
03885,nh,015
03886,nh,003
03887,nh,003
03887,nh,017
03890,nh,003
03894,nh,003
03896,nh,003
03897,nh,003
03901,me,031
03902,me,031
03903,me,031
03904,me,031
03905,me,031
03906,me,031
03907,me,031
03908,me,031
